method,task,seed,success_rate,mean_steps
Transformer,F (green & (!blue U yellow)) & F magenta,1,0.68,509.49411764705883
Transformer,(F blue) & (!blue U (green & F yellow)),3,0.428,412.9299065420561
Transformer,(F blue) & (!blue U (green & F yellow)),1,0.464,414.6681034482759
Transformer,(F blue) & (!blue U (green & F yellow)),2,0.502,487.1314741035857
Transformer,F (blue | green) & F yellow & F magenta,1,0.94,303.55744680851063
Transformer,F (blue | green) & F yellow & F magenta,2,0.952,361.43697478991595
Transformer,F (blue | green) & F yellow & F magenta,3,0.9,407.03777777777776
Transformer,!(magenta | yellow) U (blue & F green),1,0.722,244.13296398891967
Transformer,!(magenta | yellow) U (blue & F green),3,0.752,273.9840425531915
Transformer,!(magenta | yellow) U (blue & F green),2,0.74,307.2189189189189
Transformer,!green U ((blue | magenta) & (!green U yellow)),3,0.862,239.95127610208817
Transformer,!green U ((blue | magenta) & (!green U yellow)),2,0.914,247.43763676148797
Transformer,!green U ((blue | magenta) & (!green U yellow)),1,0.63,294.33968253968254
Transformer,((green | blue) => (!yellow U magenta)) U yellow,3,0.936,121.51923076923077
Transformer,((green | blue) => (!yellow U magenta)) U yellow,2,0.954,129.27044025157232
Transformer,((green | blue) => (!yellow U magenta)) U yellow,1,0.822,161.60097323600974
